id,user,created_at,text,retweet_count
864470828041109504,CitronResearch,2017-05-16 13:21:21,"b'Andrew Left on  Bloomberg TV ""What\'d You Miss""today 3:30 EST to dispel the dangerous and potentially deadly lies told by EXAS CEO. $20  tgt'",1098
864133936816857088,CitronResearch,2017-05-15 15:02:40,"b'Andrew Left from Citron on CNBC Halftime Report today to explain why $EXAS is most important report ever.  Watch, it could save your life'",13
864129534144036866,CitronResearch,2017-05-15 14:45:10,"b""Citron's most important report in YEARS.  $EXAS to trade short term $20. Long term much lower.\\u2026 https://t.co/MjIeO2Vgon""",35
861963475114835968,CitronResearch,2017-05-09 15:18:01,b'The tweet that $W Wayfair does not want you to see.  As a short there are times to add and other times to retreat -\\u2026 https://t.co/DxBONw86Ff',48
859780929488691200,CitronResearch,2017-05-03 14:45:22,b'$FLT being sued by Chevron.  Delaying transfer and Charging FEES.  Is that fake news? #douchebag See you at $100 a share Read the lawsuit',21
857647956748414976,CitronResearch,2017-04-27 17:29:41,b'Just read the todays  piece from C.F. today on $FLT  just shorted more ..uglier than we initially thought.  Jail or fines for management?',16
857640958363451392,CitronResearch,2017-04-27 17:01:53,b'Citron publishes the only thing you have to read on $FLT.  Earnings are meaningless without knowing their business.   TGT $80',10
856550698812559361,CitronResearch,2017-04-24 16:49:35,"b""Don't F*#$ with Bezos.  $AMZN TORPEDOES Wayfair's shit unprofitable business.   Finally real furn delivery.  RIP $W https://t.co/bWyORFyLNO""",34
855064589771223041,CitronResearch,2017-04-20 14:24:19,"b'Why is Wayfair the ONLY retailer who uses a manual process for accounting,.  Last we saw that quote was Crazy Eddie\\nhttps://t.co/asdXevWjzH'",30
849265427276603392,CitronResearch,2017-04-04 14:20:31,b'FleetCor $FLT customers can file their complaints with the Georgia AG or the FTC at https://t.co/QnLnBHPc50  or https://t.co/dK0mjCwh8R',6
849265114712870913,CitronResearch,2017-04-04 14:19:16,"b'Citron Research exposes the fraud at $FLT   ""Just a computer glitch""  I think we have heard that before    https://t.co/Fn9MwK5FlX'",28
841282847310725121,CitronResearch,2017-03-13 13:40:35,b'https://t.co/YO8SByznKN',103
839916033834020865,CitronResearch,2017-03-09 19:09:22,b'Full Story on Transdigm  https://t.co/Fn9MwJO3Xn  TGT price $140',11
839915282529308672,CitronResearch,2017-03-09 19:06:22,b'Citron exposes more undisclosed relationships of $TDG.  The cover up is on.  Citron also points to illegal activities in gov bidding.',36
835146888248643585,CitronResearch,2017-02-24 15:18:29,b'Updating our $NVDA call....switching focus to $MBLY Ridiculous comparison  We expect $MBLY to trade short term $35.\\u2026 https://t.co/SYntAjxPJL',78
828985582894264320,CitronResearch,2017-02-07 15:15:39,b'Andrew Left of Citron on CNBC 12:30 est to explain Motorola and the its vulnerabilities that can take the stock to $40',9
828985313582125056,CitronResearch,2017-02-07 15:14:35,b'Citron exposes the price gouging of the gov by $MSI   Target $40.  Manag better hope Trump does not read this report https://t.co/pCJiPtEg2l',37
825010955390062594,CitronResearch,2017-01-27 16:01:54,b'Citron story with new CMS info here $ESRX\\n\\nhttps://t.co/1dcpVzwf3o',24
825006752705810432,CitronResearch,2017-01-27 15:45:12,b'New CMS data indisputable.  Rebates damage system. @realDonaldTrump can fix drug pricing w one stroke. $ESRX is Got\\u2026 https://t.co/UNYbuRwZIS',57
